Frame,Front_DL_FPS,Power_W,GPU_Load_%,Temp_GPU_C,Temp_CPU_C,Temp_TJ_C,RAM_MB,CPU1_Load_%,CPU2_Load_%,CPU3_Load_%,CPU4_Load_%,CPU5_Load_%,CPU6_Load_%
253,15.223007796054064,9494,,53.406,54.125,54.125,0.7161210719461228,6,6,6,11,69,6
254,15.271228527529182,9494,,53.406,54.125,54.125,0.7161210719461228,6,6,6,11,69,6
255,15.316622845457202,9494,,53.406,54.125,54.125,0.7161210719461228,6,6,6,11,69,6
256,15.306058847786183,9494,,53.406,54.125,54.125,0.7161210719461228,6,6,6,11,69,6
257,15.160171470292699,9494,,53.406,54.125,54.125,0.7161210719461228,6,6,6,11,69,6
258,15.34362996510071,9494,,53.406,54.125,54.125,0.7161210719461228,6,6,6,11,69,6
259,15.164337105462959,10614,20.1,53.781,54.843,54.843,0.722111413379181,32,44,42,99,76,46
260,15.2610601920411,10614,20.1,53.781,54.843,54.843,0.722111413379181,32,44,42,99,76,46
261,15.236390319744844,10614,20.1,53.781,54.843,54.843,0.722111413379181,32,44,42,99,76,46
262,15.167462834453755,10614,20.1,53.781,54.843,54.843,0.722111413379181,32,44,42,99,76,46
263,15.09002993322588,10614,20.1,53.781,54.843,54.843,0.722111413379181,32,44,42,99,76,46
264,15.226710521061364,10614,20.1,53.781,54.843,54.843,0.722111413379181,32,44,42,99,76,46
265,15.504541237094347,10614,20.1,53.781,54.843,54.843,0.722111413379181,32,44,42,99,76,46
266,15.430957540349729,10614,20.1,53.781,54.843,54.843,0.722111413379181,32,44,42,99,76,46
267,15.548683425207505,10387,99.4,54.343,54.312,54.312,0.7232909252427329,55,52,72,53,72,48
268,15.460990920920219,10387,99.4,54.343,54.312,54.312,0.7232909252427329,55,52,72,53,72,48
269,15.562413965827504,10387,99.4,54.343,54.312,54.312,0.7232909252427329,55,52,72,53,72,48
270,15.536243050127977,10387,99.4,54.343,54.312,54.312,0.7232909252427329,55,52,72,53,72,48
